これつながるの怖いな,4
ナイスブロックだ,8
ああお、おーーーーーおおお！,11
今のは、スーパーナイスセーブじゃないすか,18
いや、今のとんでもないくらいうまかった,23
すげえ！,26
神セーブ！,31
これすげえわ！,33
アハハハ！,35
うおーーーー,38
かっこえええ！,41
ナイス,47
川島すげえ！,49
ありがとうございます,55
すごい,57
いやーめっちゃ良い今の,59
すごい,66
おおーーーーー、すごい,68
あざす,73
右腕一本,75 
止めた、しかも斜めにちゃんと返してる,80
すごい,84
成長している,87
今日川島調子いいな,90
こいつぅ、うまいな,4
おおおおおぁ,7
おおおおおお,11
どうなん？どうなんジャッジ,15
とめたよな？22
ぱねぇ、半端ねえ,25
うおおおおおおおお、ナイスぅぅぅ！,29
アハハハ、でたねぇぇぇぇ！あざぁぁす,36
ここよここ,43
いやぁぁぁぁぁ,48 
いやー、川島さーーーん！,51
ナイスぅぅぅ,54
取り戻すね、うめぇ,60
うぅぅぅぅぅぅ,64
ギリやねぇぇ、寸前！,67
ノーゴール、あざす,71
うぉおおお、ようとめたなぁ,76
うーん, 83
成長している, 86
こわいわぁ, 89
おーーーーーー,7
あああああああああーーーおおおおおおおーーおおーーーー,12
すげえ,34
おおおおおおおおお,52
すごおおお,65   
すごっ,75
あーあああああ〜〜おーーおおおおおお,2
今のは怖いな,6
おおおおおおおあああああああああーーーおおおおおおおーー,11
スーパーナイスセーブ！,20
これすげえええー,33
すげええええええ,35
川島すげえええええ,37
すげえ,40
やばああ,42
ここよ,45
ナイス,47
いやあーーー川島,49
すご,56
かっこいいい,60
取り戻すっすねぇ,63
おおおおおおおお,69
あざす,74
右腕一本,75
すごい,85
成長している,87
おー怖い怖い怖い,88